company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Attain MedSpa,Northern NJ,NJ,Northern New Jersey,Med Spa,8,$1M-$2M,Lauren Ben-Meir,Owner
The Garden Med Spa NJ,Northern NJ,NJ,Northern New Jersey,Med Spa,6,$800K-$1.5M,Owner,Owner
Normann Staffing Services,Northern NJ,NJ,Northern New Jersey,Staffing Agency,12,$2M-$5M,Owner,President
Superior Staffing,Paterson,NJ,Northern New Jersey,Staffing Agency,10,$2M-$4M,Owner,Owner
Insurance Center of North Jersey,Maywood,NJ,Northern New Jersey,Insurance Brokerage,8,$1M-$2M,Owner,Owner/Broker
AMH Insurance Brokerage,Northern NJ,NJ,Northern New Jersey,Insurance Brokerage,7,$900K-$2M,Owner,Owner/Broker
Schaaf Plumbing,Bergen County,NJ,Northern New Jersey,Plumbing Contractor,10,$1.5M-$3M,Owner,Owner
Angler Plumbing Heating & Drain,Bergen County,NJ,Northern New Jersey,Plumbing Contractor,8,$1M-$2.5M,Owner,Owner
Crossroads Plumbing & Heating,Bergenfield,NJ,Northern New Jersey,Plumbing Contractor,10,$1.5M-$3M,Owner,Owner
Martin Masters Plumbing Heating & AC,Bergen County,NJ,Northern New Jersey,Plumbing Contractor,12,$2M-$4M,Owner,Owner
Breitenbach Plumbing,Bergen County,NJ,Northern New Jersey,Plumbing Contractor,8,$1M-$2.5M,Owner,Owner
Bogle Agency Insurance,Bergen County,NJ,Northern New Jersey,Insurance Brokerage,8,$1M-$2M,Owner,Owner/Broker
Central Insurance Agency of NJ,Guttenberg,NJ,Northern New Jersey,Insurance Brokerage,7,$900K-$2M,Owner,Owner/Broker
Delpo Plumbing Heating & Cooling,Bergen County,NJ,Northern New Jersey,HVAC/Plumbing Contractor,10,$1.5M-$3M,Owner,Owner
Accu-Rooter,Bergen County,NJ,Northern New Jersey,Plumbing Contractor,8,$1M-$2.5M,Owner,Owner
Forever Young MD Med Spa,Northern NJ,NJ,Northern New Jersey,Med Spa,8,$1M-$2M,Owner,Medical Director
Drip Medi Spa,Northern NJ,NJ,Northern New Jersey,Med Spa,7,$900K-$2M,Owner,Owner
