Carolina Property Management LLC,Charlotte,NC,Charlotte,Property Management Company,12,$1M-$3M,Principal,Owner
Bottom Line Property Management,Charlotte,NC,Charlotte,Property Management Company,8,$500K-$2M,Principal,Owner
Accurate Placement,Phoenix,AZ,Phoenix,Staffing Agency,12,$1M-$5M,Principal,Owner
APN Staffing & Employment Solutions,Phoenix,AZ,Phoenix,Staffing Agency,8,$1M-$3M,Kevin O'Connor,Owner
HotFoot Recruiters,Phoenix,AZ,Phoenix,Recruiting Agency,10,$1M-$3M,Principal,Owner
Solutions Staffing,Phoenix,AZ,Phoenix,Staffing Agency,12,$1M-$5M,Principal,Owner
GoldCoast Mortgage Service,Beverly,MA,Boston,Mortgage Brokerage,8,$500K-$2M,Principal,Owner
Poli Mortgage Group,Boston,MA,Boston,Mortgage Brokerage,15,$1M-$2M,Principal,Owner
Dovetail Mortgage,Boston,MA,Boston,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner
X Realty Corp,Sparta,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Principal,Owner
Boutique Realty NJ,Northern New Jersey,NJ,Northern New Jersey,Real Estate Brokerage,10,$1M-$5M,Principal,Owner
DeFelice Realty Group,Northern New Jersey,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Carol DeFelice,Owner
Signature Realty NJ,Summit,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$5M,Principal,Owner
The Gallery Residential Brokerage,Northern New Jersey,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Principal,Owner
Maridian Real Estate Group,Hoboken,NJ,Northern New Jersey,Real Estate Brokerage,8,$1M-$3M,Dian Fini,Managing Partner
Reliable Staffing Houston,Houston,TX,Houston,Staffing Agency,12,$1M-$5M,Owner,Owner
TPI Staffing,Houston,TX,Houston,Staffing Agency,15,$2M-$5M,Principal,Owner
LINK Staffing,Houston,TX,Houston,Staffing Agency,18,$2M-$5M,Principal,Owner
Clayton Services,Houston,TX,Houston,Staffing Agency,12,$1M-$5M,Principal,Owner
Murray Resources,Houston,TX,Houston,Recruiting Agency,12,$1M-$5M,Principal,Founder
Rollins Financial Advisors,Atlanta,GA,Atlanta,Financial Advisory Firm,12,$1M-$5M,Principal,Managing Partner
Georgia Wealth Partners,Atlanta,GA,Atlanta,Wealth Management Firm,10,$1M-$5M,Principal,Managing Partner
FBS Property Management,San Diego,CA,San Diego,Property Management Company,10,$500K-$2M,Principal,Owner
18 Doors,San Diego,CA,San Diego,Property Management Company,8,$500K-$2M,Principal,Owner
San Diego Professional Property Managers,San Diego,CA,San Diego,Property Management Company,8,$500K-$2M,Owner,Owner
PMI San Diego,San Diego,CA,San Diego,Property Management Company,8,$500K-$2M,Principal,Owner
The Colorado Mortgage Team,Denver,CO,Denver,Mortgage Brokerage,8,$500K-$2M,Principal,Owner
Independent Mortgage Brokers LLC,Denver,CO,Denver,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner
Rob's Mortgage Loans,Denver,CO,Denver,Mortgage Brokerage,6,$500K-$1.5M,Rob,Owner
Front Range Mortgage,Denver,CO,Denver,Mortgage Brokerage,10,$500K-$2M,Principal,Owner
Miami Brokers Group,Miami,FL,Miami,Real Estate Brokerage,10,$1M-$5M,Mike Diaz,Owner
Miami One Real Estate,Miami,FL,Miami,Real Estate Brokerage,8,$1M-$3M,Principal,Owner
Verawood Properties,Miami,FL,Miami,Real Estate Brokerage,8,$1M-$3M,Principal,Owner
APEX Capital Realty,Miami,FL,Miami,Real Estate Brokerage,8,$1M-$5M,Principal,Owner
Chariff Realty Group,Miami,FL,Miami,Real Estate Brokerage,10,$1M-$5M,Principal,Owner
Chicago Partners Wealth Advisors,Chicago,IL,Chicago,Wealth Management Firm,18,$5M-$10M,Principal,Managing Partner
Virtue Asset Management,Chicago,IL,Chicago,Wealth Management Firm,6,$1M-$3M,Principal,Owner
The Mather Group,Chicago,IL,Chicago,Wealth Management Firm,15,$2M-$5M,Principal,Managing Partner
McCall Staffing Services,San Francisco,CA,San Francisco Bay Area,Staffing Agency,15,$1M-$5M,Principal,Owner
Scion Staffing SF,San Francisco,CA,San Francisco Bay Area,Staffing Agency,12,$1M-$5M,Principal,Owner
80Twenty,San Francisco,CA,San Francisco Bay Area,Staffing Agency,8,$1M-$3M,Principal,Owner
Westside Property Management,Los Angeles,CA,Los Angeles,Property Management Company,12,$1M-$3M,Principal,Owner
PMI Los Angeles,Los Angeles,CA,Los Angeles,Property Management Company,8,$500K-$2M,Principal,Owner
