Edward J. Colville LLC,Scotch Plains,NJ,Northern New Jersey,CPA Firm,6,$500K-$1.5M,Edward J. Colville,Owner
Petriello Law,Northern New Jersey,NJ,Northern New Jersey,Real Estate Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
The Matus Law Group,New Jersey,NJ,Northern New Jersey,Real Estate Law Firm,8,$800K-$2M,Christine Matus,Founding Attorney
Sullivan Law Offices,Dallas,TX,Dallas,Real Estate Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
Holmes Firm PC,Dallas,TX,Dallas,Real Estate Law Firm,8,$800K-$2M,Managing Partner,Managing Partner
Kaplan & Cruz PLLC,Dallas,TX,Dallas,Real Estate Law Firm,10,$1M-$3M,Managing Partner,Managing Partner
Lawrence Law PLLC,Dallas,TX,Dallas,Real Estate Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
Jutla Legal,Chicago,IL,Chicago,Real Estate Law Firm,8,$800K-$2M,Managing Partner,Managing Partner
Gordon & Pikarski,Chicago,IL,Chicago,Real Estate Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
The Sherrod Law Firm,Chicago,IL,Chicago,Real Estate Law Firm,6,$800K-$2M,Managing Partner,Managing Partner
Bradford Miller Law PC,Chicago,IL,Chicago,Real Estate Law Firm,8,$800K-$2M,Bradford Miller,Founding Attorney
Tucker Agency LLC,Nashville,TN,Nashville,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Palmer & Wallace Insurance,Nashville,TN,Nashville,Insurance Brokerage,6,$500K-$1.5M,Managing Partner,Managing Partner
Ballenger Brokerage,Nashville,TN,Nashville,Insurance Brokerage,5,$500K-$1M,Managing Partner,Managing Partner
RSC Insurance Brokerage Inc,Nashville,TN,Nashville,Insurance Brokerage,7,$500K-$1.5M,Managing Partner,Managing Partner
Brooke the Broker Insurance,Dallas,TX,Dallas,Insurance Brokerage,6,$500K-$1.5M,Managing Partner,Managing Partner
Brooks Cannon Insurance Group,Dallas,TX,Dallas,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
The Gibb Agency,Dallas,TX,Dallas,Insurance Brokerage,7,$500K-$1.5M,Managing Partner,Managing Partner
Lipscomb Insurance Group Inc,Dallas,TX,Dallas,Insurance Brokerage,15,$1M-$2M,Managing Partner,Managing Partner
Thomas Ward Insurance Group,Chicago,IL,Chicago,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Lakeview Insurance,Chicago,IL,Chicago,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Jos. Cacciatore & Co Insurance Agency,Chicago,IL,Chicago,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
The Allen Thomas Group,Atlanta,GA,Atlanta,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Rob Hill Insurance Group,Atlanta,GA,Atlanta,Insurance Brokerage,8,$500K-$2M,Rob Hill,Owner
Townley Kenton,Atlanta,GA,Atlanta,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Safe Insurance Group,Miami,FL,Miami,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Southeast Insurance Group,Miami,FL,Miami,Insurance Brokerage,12,$800K-$2M,Managing Partner,Managing Partner
Butler Buckley & Deets,Miami,FL,Miami,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Texan Insurance,Houston,TX,Houston,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Kingspoint Insurance Agency Inc,Houston,TX,Houston,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
IHS Insurance Group,Houston,TX,Houston,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Coriano Insurance Agency,Phoenix,AZ,Phoenix,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Independent Insurance Brokers Arizona,Phoenix,AZ,Phoenix,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Kelley's Insurance Services,Phoenix,AZ,Phoenix,Insurance Brokerage,6,$500K-$1.5M,Managing Partner,Managing Partner
Kerth Insurance & Associates,Phoenix,AZ,Phoenix,Insurance Brokerage,7,$500K-$1.5M,Managing Partner,Managing Partner
Longevity Brokers,Denver,CO,Denver,Insurance Brokerage,7,$500K-$1.5M,Managing Partner,Managing Partner
Colorado Insurance Broker Inc,Denver,CO,Denver,Insurance Brokerage,6,$500K-$1.5M,Managing Partner,Managing Partner
Square State Insurance,Denver,CO,Denver,Insurance Brokerage,7,$500K-$1.5M,Managing Partner,Managing Partner
Bonnie Brae Insurance,Denver,CO,Denver,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Kuzbiel Insurance Brokers,Denver,CO,Denver,Insurance Brokerage,7,$500K-$1.5M,Managing Partner,Managing Partner
Metro Boston Insurance Agency,Chelsea,MA,Boston,Insurance Brokerage,8,$500K-$2M,Managing Partner,Managing Partner
Charles River Insurance,Framingham,MA,Boston,Insurance Brokerage,10,$800K-$2M,Managing Partner,Managing Partner
Winchell CPA & Advisory,Nashville,TN,Nashville,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Heimerl & Lammers,Minneapolis,MN,Minneapolis,Family Law Firm,10,$1M-$3M,Managing Partner,Managing Partner
Sobol Family Law,Minneapolis,MN,Minneapolis,Family Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
FreedomTax Accounting,Orlando,FL,Orlando,Tax Preparation Firm,8,$500K-$1.5M,Managing Partner,Managing Partner
Infinity Accounting Solutions,Tampa,FL,Tampa,Bookkeeping Firm,6,$300K-$800K,Managing Partner,Managing Partner
Dearolf & Mereness LLP,Tampa,FL,Tampa,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Marsocci Appleby and Company PA,Tampa,FL,Tampa,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Babione Kuehler & Company,Orlando,FL,Orlando,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Hacker Johnson & Smith PA,Tampa,FL,Tampa,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
Carter & Company CPA,Atlanta,GA,Atlanta,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Lucrum Consulting,Charlotte,NC,Charlotte,Bookkeeping Firm,6,$300K-$800K,Managing Partner,Managing Partner
Carolina Accounting & Tax Service PLLC,Charlotte,NC,Charlotte,Bookkeeping Firm,5,$300K-$800K,Managing Partner,Managing Partner
Tharrington CPA PLLC,Charlotte,NC,Charlotte,CPA Firm,6,$500K-$1.5M,Managing Partner,Managing Partner
Moroney Law Group PLLC,Nashville,TN,Nashville,Estate Planning Firm,6,$800K-$2M,Jennifer Moroney,Founding Attorney
Law Offices of David Stein,Washington,DC,Washington DC,Family Law Firm,6,$800K-$2M,David Stein,Founding Attorney
Jeffrey Law PA,Miami,FL,Miami,Family Law Firm,7,$800K-$2M,Robert Jeffrey,Founding Attorney
Cortes Hodz Family Law & Mediation PA,Tampa,FL,Tampa,Family Law Firm,6,$800K-$2M,Managing Partner,Managing Partner
JOS Family Law,Orange County,CA,Orange County,Family Law Firm,7,$800K-$2M,Binoye Jos,Founding Attorney
Armstrong Legal Immigration Law Firm,Dallas,TX,Dallas,Immigration Law Firm,7,$800K-$2M,Managing Partner,Managing Partner
Ramos Law,Phoenix,AZ,Phoenix,Personal Injury Law Firm,8,$800K-$2M,Joseph Ramos,Founding Attorney
Accuretta Inc CPA,Los Angeles,CA,Los Angeles,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Counsel CPAs,Los Angeles,CA,Los Angeles,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Price Kong,Phoenix,AZ,Phoenix,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner
Apex CPAs & Consultants,Phoenix,AZ,Phoenix,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Howard CPA LLC,Houston,TX,Houston,CPA Firm,6,$500K-$1.5M,Managing Partner,Managing Partner
HRSS CPAs,Houston,TX,Houston,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
GLSC & Company PLLC,Miami,FL,Miami,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Farber CPA,New Jersey,NJ,Northern New Jersey,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
CG Team,New Jersey,NJ,Northern New Jersey,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Dimeta Smith CPA LLC,Nashville,TN,Nashville,CPA Firm,5,$500K-$1M,Dimeta Smith,Owner
CPA Firm Denver,Denver,CO,Denver,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Fraser Waldrop & Company CPAs Inc,Denver,CO,Denver,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Prudent Accountants,Minneapolis,MN,Minneapolis,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
